Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
Item_9516_Name,aFNJ,d道具_Item_A.csv,337,Item,Name,,星天之兽,Celestial Beast
State_3117_Desc,aWNt,z状态表_State_A.csv,1837,State,Desc,,队伍唯一：装备者「打击」和「狂气爆发」基础伤害提高 <WeaponEffect_Num:[StateArg1]%>。装备者打出「打击」后，装备者获得 5% 临时暴击率，每回合最多 3 次，达到 3 次时获得 15% 临时暴击伤害。,"The Base DMG of the wielder's Exalt and Strike Commands each +<WeaponEffect_Num:[StateArg1]%>.\nWhenever one of their Strike Commands is played, the wielder's Crit. Rate +5% this turn. This effect stacks up to 3 times, and when stacks reach 3, the wielder's Crit. DMG +15% this turn."
State_3117_WeaponDesc,aWNv,z状态表_State_A.csv,1837,State,WeaponDesc,,装备者「打击」和「狂气爆发」基础伤害提高 <WeaponEffect_Num:[StateArg1]%>。装备者打出「打击」后，装备者获得 5% 临时暴击率，每回合最多 3 次，达到 3 次时获得 15% 临时暴击伤害。,"The Base DMG of the wielder's Exalt and Strike Commands each +<WeaponEffect_Num:[StateArg1]%>.\nWhenever one of their Strike Commands is played, the wielder's Crit. Rate +5% this turn. This effect stacks up to 3 times, and when stacks reach 3, the wielder's Crit. DMG +15% this turn."
Item_9849_Name,aGmh,d道具_Item_A.csv,338,Item,Name,,超越死亡,Deathless Ascent
State_3683_Desc,aXBd,z状态表_State_A.csv,1843,State,Desc,,队伍唯一：装备者指令卡造成的治疗提高 <WeaponEffect_Num:[StateArg2]%>。装备者释放「狂气爆发」前，其他唤醒体获得 <WeaponEffect_Num:[StateArg1]> 点狂气。若我方队伍处于<VulnerabilityIconKeywords:易伤>状态，效果翻倍。,"HP recovered by the wielder's Command Cards +<WeaponEffect_Num:[StateArg2]%>.\nAfter the wielder Exalts, grant all other Awakeners <WeaponEffect_Num:[StateArg1]> Aliemus. If Awakeners were <VulnerabilityIconKeywords:Vulnerable> before the Exalt was released, Aliemus granted this way is doubled."
State_3683_WeaponDesc,aXBf,z状态表_State_A.csv,1843,State,WeaponDesc,,装备者指令卡造成的治疗提高 <WeaponEffect_Num:[StateArg2]%>。装备者释放狂气爆发前，其他唤醒体获得 <WeaponEffect_Num:[StateArg1]> 点狂气。若我方队伍处于<VulnerabilityIconKeywords:易伤>状态，效果翻倍。,"HP recovered by the wielder's Command Cards +<WeaponEffect_Num:[StateArg2]%>.\nAfter the wielder Exalts, grant all other Awakeners <WeaponEffect_Num:[StateArg1]> Aliemus. If Awakeners were <VulnerabilityIconKeywords:Vulnerable> before the Exalt was released, Aliemus granted this way is doubled."
Item_9817_Name,aGjZ,d道具_Item_A.csv,339,Item,Name,,溯洄时计,Rewinding Time
State_2614_Desc,aWmk,z状态表_State_A.csv,1844,State,Desc,,队伍唯一：打出装备者的指令卡后，有 <WeaponEffect_Num:[StateArg1]%> 的概率将其从弃牌堆重新加入手牌，该效果单个回合只生效 1 次。,"Whenever one of the wielder's cards is played, there is a <WeaponEffect_Num:[StateArg1]%> chance to return it to your hand from the Discard Pile. This effect triggers only once each turn."
State_2614_WeaponDesc,aWmm,z状态表_State_A.csv,1844,State,WeaponDesc,,打出装备者的指令卡后，有 <WeaponEffect_Num:[StateArg1]%> 的概率将其从弃牌堆重新加入手牌。该效果单个回合只生效 1 次。,"Whenever one of the wielder's cards is played, there is a <WeaponEffect_Num:[StateArg1]%> chance to return it to your hand from the Discard Pile. This effect triggers only once each turn."
Item_9873_Name,aGnZ,d道具_Item_A.csv,340,Item,Name,,骑士之心,Heart of a Knight
State_2905_Desc,aWBI,z状态表_State_A.csv,1842,State,Desc,,队伍唯一：装备者的「狂气爆发」造成的护盾提高 <WeaponEffect_Num:[StateArg2]%>。装备者释放「狂气爆发」后，获得等同于装备者防御力 <WeaponEffect_Num:[StateArg1]%> 层数的临时<PowerIconKeywords:力量>。若我方队伍处于<FragileIconKeywords:脆弱>状态，效果翻倍。,"Shield gained from the wielder's Exalt +<WeaponEffect_Num:[StateArg2]%>.\nAfter the wielder Exalts, gain Temporary <PowerIconKeywords:STR> equal to <WeaponEffect_Num:[StateArg1]%> of the wielder's DEF. If Awakeners were <FragileIconKeywords:Fragile> before the Exalt was released, <PowerIconKeywords:STR> gained this way is doubled."
State_2905_WeaponDesc,aWBK,z状态表_State_A.csv,1842,State,WeaponDesc,,装备者的「狂气爆发」造成的护盾提高 <WeaponEffect_Num:[StateArg2]%>。装备者释放「狂气爆发」后，获得 [Power:DescArg1] 点临时<PowerIconKeywords:力量>。若我方队伍处于<FragileIconKeywords:脆弱>状态，效果翻倍。,"Shield gained from the wielder's Exalt +<WeaponEffect_Num:[StateArg2]%>.\nAfter the wielder Exalts, gain [Power:DescArg1] Temporary <PowerIconKeywords:STR>. If Awakeners were <FragileIconKeywords:Fragile> before the Exalt was released, <PowerIconKeywords:STR> gained this way is doubled."
Item_9856_Name,aGmJ,d道具_Item_A.csv,341,Item,Name,,记忆螺旋,Memory Spiral
State_3913_Desc,aXNT,z状态表_State_A.csv,2018,State,Desc,,队伍唯一：装备者造成的护盾提高 <WeaponEffect_Num:[StateArg1]%>。回合开始时，保留 <WeaponEffect_Num:[StateArg2]%> 剩余护盾，保留的护盾至多为 <WeaponEffect_Num:[StateArg3]%> 最大生命护盾。,"Shield gained from the wielder +<WeaponEffect_Num:[StateArg1]%>.\nAt turn start, retain <WeaponEffect_Num:[StateArg2]%> of unbroken Shield, up to <WeaponEffect_Num:[StateArg3]%> of Max HP."
State_3913_WeaponDesc,aXNV,z状态表_State_A.csv,2018,State,WeaponDesc,,装备者造成的护盾提高 <WeaponEffect_Num:[StateArg1]%>。回合开始时，保留 <WeaponEffect_Num:[StateArg2]%> 剩余护盾，保留的护盾至多为 <WeaponEffect_Num:[StateArg3]%> 最大生命护盾。,"Shield gained from the wielder +<WeaponEffect_Num:[StateArg1]%>.\nAt turn start, retain <WeaponEffect_Num:[StateArg2]%> of unbroken Shield, up to <WeaponEffect_Num:[StateArg3]%> of Max HP."
Item_9589_Name,aFTd,d道具_Item_A.csv,342,Item,Name,,腐朽赠礼,Gift of Decay
State_2961_Desc,aWEL,z状态表_State_A.csv,1847,State,Desc,,队伍唯一：装备者造成的<IntoxicationIconKeywords:中毒>提高 <WeaponEffect_Num:[StateArg1]%>，装备者释放狂气爆发前，先对所有敌人施加等同于装备者攻击力 <WeaponEffect_Num:[StateArg2]%> 的中毒。使用钥令后，装备者获得 <WeaponEffect_Num:[StateArg3]> 点狂气。,"<IntoxicationIconKeywords:Poison> inflicted by the wielder +<WeaponEffect_Num:[StateArg1]%>.\nAs part of the wielder's Exalt, first they inflict <IntoxicationIconKeywords:Poison> on all enemies equal to <WeaponEffect_Num:[StateArg2]%> of their ATK; then resolve the Exalt's effects.\nWhenever you unleash a Posse, the wielder gains <WeaponEffect_Num:[StateArg3]> Aliemus."
State_2961_WeaponDesc,aWEN,z状态表_State_A.csv,1847,State,WeaponDesc,,装备者造成的<IntoxicationIconKeywords:中毒>提高 <WeaponEffect_Num:[StateArg1]%>，装备者释放狂气爆发前，先对所有敌人施加 <WeaponEffect_Num:[Poison:DescArg1]> 层中毒。使用钥令后，装备者获得 <WeaponEffect_Num:[StateArg3]> 点狂气。,"<IntoxicationIconKeywords:Poison> inflicted by the wielder +<WeaponEffect_Num:[StateArg1]%>.\nAs part of the wielder's Exalt, first they inflict <WeaponEffect_Num:[Poison:DescArg1]> <IntoxicationIconKeywords:Poison> on all enemies; then resolve the Exalt's effects.\nWhenever you unleash a Posse, the wielder gains <WeaponEffect_Num:[StateArg3]> Aliemus."
Item_9943_Name,aGsJ,d道具_Item_A.csv,343,Item,Name,,欲海浮沉,Drifting in Desire
State_3123_Desc,aWNL,z状态表_State_A.csv,1849,State,Desc,,队伍唯一：装备者造成的<RetaliateIconKeywords: 反击>提高 <WeaponEffect_Num:[StateArg3]%>。每受到 1 次攻击，就获得等同于装备者攻击力 <WeaponEffect_Num:[StateArg1]%> 的临时<PowerIconKeywords:力量>。装备者使用狂气爆发后，获得等同于装备者攻击力 <WeaponEffect_Num:[StateArg2]%> 的<RetaliateIconKeywords: 反击>。,"<RetaliateIconKeywords:Counter> gained from the wielder +<WeaponEffect_Num:[StateArg3]%>.\nWhenever an enemy attacks you, gain Temporary <PowerIconKeywords:STR> equal to <WeaponEffect_Num:[StateArg1]%> of the wielder's ATK for each hit.\nAfter the wielder Exalts, gain <RetaliateIconKeywords:Counter> equal to <WeaponEffect_Num:[StateArg2]%> of the wielder's ATK."
